store,quarter,products_sold,Target,variance_to_target,rank
Birmingham,1,477,475,-2,4
Birmingham,2,346,325,-21,4
Birmingham,3,348,300,-48,4
Birmingham,4,404,400,-4,3
Leeds,1,488,490,2,3
Leeds,2,331,325,-6,3
Leeds,3,279,300,21,2
Leeds,4,349,400,51,1
London,1,425,475,50,1
London,2,324,325,1,2
London,3,312,300,-12,3
London,4,422,400,-22,5
Manchester,1,440,475,35,2
Manchester,2,288,300,12,1
Manchester,3,350,300,-50,5
Manchester,4,327,330,3,2
York,1,499,490,-9,5
York,2,329,300,-29,5
York,3,273,300,27,1
York,4,340,330,-10,4
